,0
ASV1355,24.0
ASV1358,24.0
ASV1357,24.0
ASV1356,24.0
ASV1353,24.0
ASV1354,24.0
ASV1352,24.0
ASV1351,24.0
ASV1350,24.0
ASV1365,23.0
ASV1370,23.0
ASV1369,23.0
ASV1368,23.0
ASV1367,23.0
ASV1366,23.0
ASV1359,23.0
ASV1364,23.0
ASV1362,23.0
ASV1361,23.0
ASV1360,23.0
ASV1363,23.0
ASV1379,22.0
ASV1386,22.0
ASV1385,22.0
ASV1384,22.0
ASV1383,22.0
ASV1382,22.0
ASV1380,22.0
ASV1381,22.0
ASV1378,22.0
ASV1376,22.0
ASV1375,22.0
ASV1374,22.0
ASV1373,22.0
ASV1372,22.0
ASV1377,22.0
ASV1371,22.0
ASV1403,21.0
ASV1400,21.0
ASV1401,21.0
ASV1402,21.0
ASV1407,21.0
ASV1404,21.0
ASV1406,21.0
ASV1408,21.0
ASV1398,21.0
ASV1399,21.0
ASV1405,21.0
ASV1397,21.0
ASV1391,21.0
ASV1396,21.0
ASV1387,21.0
ASV1388,21.0
ASV1390,21.0
ASV1389,21.0
ASV1392,21.0
ASV1393,21.0
ASV1394,21.0
ASV1395,21.0
ASV1416,20.0
ASV1422,20.0
ASV1420,20.0
ASV1419,20.0
ASV1418,20.0
ASV1417,20.0
ASV1421,20.0
ASV1415,20.0
ASV1414,20.0
ASV1413,20.0
ASV1412,20.0
ASV1411,20.0
ASV1410,20.0
ASV1409,20.0
ASV1436,19.0
ASV1435,19.0
ASV1434,19.0
ASV1433,19.0
ASV1432,19.0
ASV1431,19.0
ASV1430,19.0
ASV1429,19.0
ASV1428,19.0
ASV1427,19.0
ASV1426,19.0
ASV1425,19.0
ASV1424,19.0
ASV1423,19.0
ASV1446,18.0
ASV1454,18.0
ASV1453,18.0
ASV1452,18.0
ASV1451,18.0
ASV1450,18.0
ASV1449,18.0
ASV1447,18.0
ASV1448,18.0
ASV1445,18.0
ASV1441,18.0
ASV1438,18.0
ASV1439,18.0
ASV1440,18.0
ASV1444,18.0
ASV1442,18.0
ASV1437,18.0
ASV1443,18.0
ASV1461,17.0
ASV1467,17.0
ASV1466,17.0
ASV1465,17.0
ASV1463,17.0
ASV1462,17.0
ASV1464,17.0
ASV1460,17.0
ASV1459,17.0
ASV1458,17.0
